Designator,Mid X,Mid Y,Layer,Rotation
U1,49.098401mm,103.458001mm,Top,0.0
R147,77.859999mm,45.629993mm,Bottom,270.0
R146,47.209998999999996mm,35.729993mm,Bottom,90.0
R141,49.759999mm,60.47999300000001mm,Bottom,180.0
U102,57.044499mm,41.015593mm,Bottom,270.0
R109,79.259999mm,56.47999300000001mm,Bottom,180.0
R108,44.420598999999996mm,55.255393mm,Bottom,0.0
Q103,78.88659899999999mm,55.367993mm,Top,0.0
Q102,78.931299mm,53.334193mm,Bottom,270.0
Q101,40.909999mm,56.474993mm,Bottom,270.0
Q100,44.259999mm,57.534993mm,Bottom,90.0
L100,47.659999mm,55.629993mm,Bottom,180.0
F100,79.559999mm,47.479993mm,Bottom,90.0
C120,53.559999mm,41.129993mm,Bottom,90.0
C107,54.863599mm,41.029993000000005mm,Bottom,270.0
C106,59.157399mm,42.011693mm,Bottom,90.0
U110,46.559999mm,50.829993mm,Bottom,0.0
R145,49.959998999999996mm,53.729993mm,Bottom,180.0
R144,47.959998999999996mm,53.729993mm,Bottom,0.0
R143,40.556799mm,35.961193mm,Bottom,270.0
R107,52.884999mm,53.729993mm,Top,270.0
D108,48.034999mm,56.079993mm,Top,90.0
C233,74.06009900000001mm,27.729993mm,Bottom,270.0
U107,51.559999mm,56.22999300000001mm,Top,90.0
U106,78.760099mm,59.22999300000001mm,Bottom,180.0
C134,49.359999mm,56.029993000000005mm,Top,90.0
C126,76.86009899999999mm,58.829993mm,Bottom,270.0
VD103,78.760099mm,41.354993mm,Bottom,90.0
VD102,78.960099mm,37.571693mm,Bottom,90.0
VD101,78.960099mm,33.788293mm,Bottom,90.0
VD100,78.960099mm,30.004993mm,Bottom,90.0
U109,79.059999mm,29.629993mm,Top,90.0
U108,79.059999mm,33.529993000000005mm,Top,90.0
U103,45.540099mm,42.654993000000005mm,Bottom,270.0
U100,43.410099mm,49.730493mm,Top,90.0
U285,47.959998999999996mm,30.829993mm,Top,0.0
U280,51.059999mm,30.829993mm,Top,180.0
U275,41.659999mm,30.829993mm,Top,0.0
U270,44.759999mm,30.829993mm,Top,180.0
U195,50.459998999999996mm,35.079993mm,Top,90.0
U190,68.459999mm,33.179993mm,Top,180.0
U185,43.359999mm,35.079993mm,Top,90.0
U180,62.659999mm,33.179993mm,Top,180.0
U175,56.859999mm,33.179993mm,Top,180.0
U170,74.259999mm,33.179993mm,Top,180.0
S101,79.459999mm,50.829993mm,Top,90.0
S100,79.459999mm,45.029993000000005mm,Top,270.0
R140,78.160099mm,26.329993mm,Bottom,0.0
R111,40.659999mm,39.879993mm,Bottom,180.0
R112,40.659999mm,40.929992999999996mm,Bottom,180.0
R117,40.659999mm,46.179992999999996mm,Bottom,180.0
R115,40.659999mm,44.079993mm,Bottom,180.0
R116,40.659999mm,45.129993mm,Bottom,180.0
R114,40.659999mm,43.029993000000005mm,Bottom,180.0
R113,40.659999mm,41.979993mm,Bottom,180.0
R110,40.659999mm,38.829993mm,Bottom,180.0
R120,77.059999mm,48.929992999999996mm,Bottom,90.0
R100,40.360099mm,49.729993mm,Bottom,90.0
R258,75.56009900000001mm,25.729993mm,Bottom,270.0
R255,40.359999mm,24.429993mm,Bottom,270.0
R256,75.56009900000001mm,27.729993mm,Bottom,90.0
R254,40.359999mm,26.379993mm,Top,270.0
R257,72.259999mm,24.879993000000002mm,Bottom,0.0
R245,67.460099mm,24.879993000000002mm,Bottom,0.0
R236,62.660099mm,24.879993000000002mm,Bottom,0.0
