Designator,Mid X,Mid Y,Layer,Rotation,Ref-X(mm),Ref-Y(mm)
R401,39.058mm,13.307000mm,Bottom,-90.0,39.058mm,13.307000mm
R402,37.516mm,13.307000mm,Bottom,-90.0,37.516mm,13.307000mm
R403,41.415mm,13.307000mm,Bottom,-90.0,41.415mm,13.307000mm
R404,43.212mm,13.307000mm,Bottom,-90.0,43.212mm,13.307000mm
R405,44.619mm,13.307000mm,Bottom,-90.0,44.619mm,13.307000mm
R406,45.958mm,13.459000mm,Bottom,-90.0,45.958mm,13.459000mm
R901,8.12mm,31.220000mm,Bottom,0.0,8.12mm,31.220000mm
R902,8.21mm,77.130000mm,Bottom,0.0,8.21mm,77.130000mm
R903,18.87mm,77.030000mm,Bottom,0.0,18.87mm,77.030000mm
R904,8.331721mm,46.267000mm,Bottom,0.0,8.331721mm,46.267000mm
R905,29.497mm,46.622000mm,Bottom,0.0,29.497mm,46.622000mm
R906,7.998279mm,62.083000mm,Bottom,0.0,7.998279mm,62.083000mm
R911,18.658279mm,61.985072mm,Bottom,0.0,18.658279mm,61.985072mm
R912,18.78mm,31.120000mm,Bottom,0.0,18.78mm,31.120000mm
R913,29.306mm,77.739000mm,Bottom,0.0,29.306mm,77.739000mm
R914,29.14mm,31.220000mm,Bottom,0.0,29.14mm,31.220000mm
R915,29.007mm,62.430000mm,Bottom,0.0,29.007mm,62.430000mm
R916,39.87mm,31.240000mm,Bottom,0.0,39.87mm,31.240000mm
C1,124.133000mm,68.647999mm,Top,-90.0,124.133000mm,68.647999mm
C2,113.395000mm,68.869993mm,Top,180.0,113.395000mm,68.869993mm
C3,116.445000mm,69.216000mm,Top,-90.0,116.445000mm,69.216000mm
C4,114.476000mm,59.297000mm,Top,0.0,114.476000mm,59.297000mm
C5,114.543000mm,61.382006mm,Top,0.0,114.543000mm,61.382006mm
D1,113.375000mm,65.508500mm,Top,90.0,113.375000mm,65.508500mm
D2,90.215000mm,86.713000mm,Top,90.0,90.215000mm,86.713000mm
D3,53.341000mm,65.639000mm,Top,180.0,53.341000mm,65.639000mm
D4,52.178000mm,81.979000mm,Top,180.0,52.178000mm,81.979000mm
D5,52.597000mm,75.871000mm,Top,180.0,52.597000mm,75.871000mm
D9,65.187000mm,57.008548mm,Top,0.0,65.187000mm,57.008548mm
D10,65.325000mm,54.925548mm,Top,0.0,65.325000mm,54.925548mm
D11,65.810095mm,59.308547mm,Top,180.0,65.810095mm,59.308547mm
D12,70.460905mm,54.925548mm,Top,180.0,70.460905mm,54.925548mm
D13,108.415000mm,39.304000mm,Top,180.0,108.415000mm,39.304000mm
D14,109.625905mm,35.819000mm,Top,180.0,109.625905mm,35.819000mm
F10,56.271000mm,83.070990mm,Top,-90.0,56.271000mm,83.070990mm
J4,44.358000mm,9.603000mm,Top,0.0,44.358000mm,9.603000mm
L1,118.860000mm,69.137000mm,Top,-90.0,118.860000mm,69.137000mm
L2,121.839000mm,68.835000mm,Top,-90.0,121.839000mm,68.835000mm
M1,60.280254mm,65.022598mm,Top,0.0,60.280254mm,65.022598mm
M2,96.790784mm,87.349758mm,Top,-90.0,96.790784mm,87.349758mm
M3,92.080000mm,87.059000mm,Top,-90.0,92.080000mm,87.059000mm
M4,36.349019mm,23.341002mm,Top,-90.0,36.349019mm,23.341002mm
M5,123.141000mm,72.263000mm,Top,90.0,123.141000mm,72.263000mm
M6,118.200663mm,37.981498mm,Top,-90.0,118.200663mm,37.981498mm
M7,53.225000mm,50.707001mm,Top,180.0,53.225000mm,50.707001mm
M9,101.205001mm,50.005002mm,Top,180.0,101.205001mm,50.005002mm
Q9,43.826000mm,82.459000mm,Top,180.0,43.826000mm,82.459000mm
Q11,44.493000mm,65.338000mm,Top,180.0,44.493000mm,65.338000mm
Q12,111.520000mm,103.667000mm,Top,180.0,111.520000mm,103.667000mm
Q14,43.826000mm,74.264000mm,Top,180.0,43.826000mm,74.264000mm
Q901,8.060000mm,36.200000mm,Top,270.0,8.060000mm,36.200000mm
Q902,8.150000mm,82.110000mm,Top,270.0,8.150000mm,82.110000mm
Q903,18.810000mm,82.010000mm,Top,270.0,18.810000mm,82.010000mm
Q904,8.271721mm,51.247000mm,Top,270.0,8.271721mm,51.247000mm
Q905,29.291721mm,51.247000mm,Top,270.0,29.291721mm,51.247000mm
Q906,7.938279mm,67.063000mm,Top,270.0,7.938279mm,67.063000mm
Q911,18.598279mm,66.963000mm,Top,270.0,18.598279mm,66.963000mm
Q912,18.720000mm,36.100000mm,Top,270.0,18.720000mm,36.100000mm
Q913,29.170000mm,82.110000mm,Top,270.0,29.170000mm,82.110000mm
Q914,29.080000mm,36.200000mm,Top,270.0,29.080000mm,36.200000mm
Q915,28.958279mm,67.063000mm,Top,270.0,28.958279mm,67.063000mm
Q916,39.810000mm,36.220000mm,Top,270.0,39.810000mm,36.220000mm
R9,105.815000mm,103.664000mm,Top,-90.0,105.815000mm,103.664000mm
R11,38.580928mm,74.272000mm,Top,-90.0,38.580928mm,74.272000mm
R12,38.523928mm,82.453000mm,Top,-90.0,38.523928mm,82.453000mm
R13,67.223000mm,61.375548mm,Top,180.0,67.223000mm,61.375548mm
R14,70.646000mm,52.720476mm,Top,0.0,70.646000mm,52.720476mm
R15,113.862000mm,37.675928mm,Top,0.0,113.862000mm,37.675928mm
R16,113.912000mm,35.519000mm,Top,0.0,113.912000mm,35.519000mm
R17,37.650000mm,9.845000mm,Top,180.0,37.650000mm,9.845000mm
R19,39.399928mm,65.371000mm,Top,-90.0,39.399928mm,65.371000mm
U1,49.098401mm,103.458001mm,Top,0.0,49.098401mm,103.458001mm
U2,119.973000mm,63.384000mm,Top,270.0,119.973000mm,63.384000mm
