# removal example: R66006 would be removed from BOM

# replacement example - replace specific fuse part number
Q601,VNP28N04-E,TO-220-3_Vertical,C263002
C603,33n,C0402,C301940

# Shortfall JLC - piezas en rojo (alternativas con stock)
D106,LED-YELLOW-0603,LED-0603,C2287
"D601, D771, D104, D108",LED-GREEN-0603,LED-0603,C965804
"D602, D105, D109, D110, D111, D112, D113, D114, D115, D116",LED-BLUE-0603,LED-0603,C497940
F410,SMD1206P050TF/24,SMD1206,C70076
L420,2.2uH,L1210,C250227
L421,MWSA0503-10uH,MWSA0503,C408412
"Q911, Q912, Q913, Q914, Q915, Q916",ISL9V3040D3ST,DPAK,C603080
R470,470k,R0402,C3017602
U101,LDL1117S33R,SOT-223,C6186
U411,TLS115,PG-DSO-8 EP,C3747428
