"Comment","Designator","Footprint","LCSC Part #"
"10n","C1","hellen-one-common:C0603","C57112"
"100n","C2","hellen-one-common:C0603","C14663"
"10n","C3","hellen-one-common:C0603","C57112"
"100n","C4","hellen-one-common:C0603","C14663"
"1u","C5","hellen-one-common:C0603","C15849"
"NUP2105L","D1","Package_TO_SOT_SMD:SOT-23","C284104"
"B5819W","D2","hellen-one-common:SOD-123","C8598"
"B5819W","D3","hellen-one-common:SOD-123","C8598"
"B5819W","D4","hellen-one-common:SOD-123","C8598"
"B5819W","D5","hellen-one-common:SOD-123","C8598"
"1N4148WS","D9","hellen-one-common:SOD-323","C2128"
"1N4148WS","D10","hellen-one-common:SOD-323","C2128"
"LED-GREEN-0805","D11","hellen-one-common:LED-0805","C2297"
"LED-GREEN-0805","D12","hellen-one-common:LED-0805","C2297"
"LED-GREEN-0805","D13","hellen-one-common:LED-0805","C2297"
"LED-GREEN-0805","D14","hellen-one-common:LED-0805","C2297"
"Fuse-Pad-Pad","F10","hellen-one-common:PAD-1206-PAD","C182446"
"USB_B_Mini","J4","hellen-one-common:USB-MINI-B-VERTICAL","C13453"
"470R@100MHz","L1","Inductor_SMD:L_0603_1608Metric","C97853"
"470R@100MHz","L2","Inductor_SMD:L_0603_1608Metric","C97853"
"Module-power_12and5V-0.1","M1","power-12-5v-0.1:power_12and5V",""
"Module-vr-discrete-0.4","M2","vr-discrete-0.4:vr-discrete",""
"Module-knock-0.2","M3","knock-0.2:knock",""
"Module-ign8-0.2","M4","ign8-0.2:ign8",""
"Module-wbo-0.5","M5","wbo-0.5:wbo",""
"Module-can-0.1","M6","can-01:can",""
"Module-ign8-0.2","M7","ign8-0.2:ign8",""
"Module-mega-mcu144-0.7","M9","mega-144-07:mega-mcu144",""
"ISL9V3040D3ST","Q9","Package_TO_SOT_SMD:TO-252-2","C5350881"
"ISL9V3040D3ST","Q11","Package_TO_SOT_SMD:TO-252-2","C5350881"
"ISL9V3040D3ST","Q12","Package_TO_SOT_SMD:TO-252-2","C5350881"
"ISL9V3040D3ST","Q14","Package_TO_SOT_SMD:TO-252-2","C5350881"
"ISL9V3040D3ST","Q901","Package_TO_SOT_SMD:TO-252-2","C5350881"
"ISL9V3040D3ST","Q902","Package_TO_SOT_SMD:TO-252-2","C5350881"
"ISL9V3040D3ST","Q903","Package_TO_SOT_SMD:TO-252-2","C5350881"
"ISL9V3040D3ST","Q904","Package_TO_SOT_SMD:TO-252-2","C5350881"
"ISL9V3040D3ST","Q905","Package_TO_SOT_SMD:TO-252-2","C5350881"
"ISL9V3040D3ST","Q906","Package_TO_SOT_SMD:TO-252-2","C5350881"
"ISL9V3040D3ST","Q911","Package_TO_SOT_SMD:TO-252-2","C462128"
"ISL9V3040D3ST","Q912","Package_TO_SOT_SMD:TO-252-2","C462128"
"ISL9V3040D3ST","Q913","Package_TO_SOT_SMD:TO-252-2","C462128"
"ISL9V3040D3ST","Q914","Package_TO_SOT_SMD:TO-252-2","C462128"
"ISL9V3040D3ST","Q915","Package_TO_SOT_SMD:TO-252-2","C462128"
"ISL9V3040D3ST","Q916","Package_TO_SOT_SMD:TO-252-2","C462128"
"22","R9","hellen-one-common:R0603","C23345"
"22","R11","hellen-one-common:R0603","C23345"
"22","R12","hellen-one-common:R0603","C23345"
"5.1k","R13","hellen-one-common:R0603","C23186"
"5.1k","R14","hellen-one-common:R0603","C23186"
"1.6k","R15","hellen-one-common:R0603","C22847"
"750","R16","hellen-one-common:R0603","C23241"
"0","R17","hellen-one-common:R0603","C21189"
"22","R19","hellen-one-common:R0603","C23345"
"10k","R401","hellen-one-common:R0603","C17414"
"10k","R402","hellen-one-common:R0603","C17414"
"10k","R403","hellen-one-common:R0603","C17414"
"10k","R404","hellen-one-common:R0603","C17414"
"10k","R405","hellen-one-common:R0603","C17414"
"10k","R406","hellen-one-common:R0603","C17414"
"22","R901","hellen-one-common:R0603","C23345"
"22","R902","hellen-one-common:R0603","C23345"
"22","R903","hellen-one-common:R0603","C23345"
"22","R904","hellen-one-common:R0603","C23345"
"22","R905","hellen-one-common:R0603","C23345"
"22","R906","hellen-one-common:R0603","C23345"
"22","R911","hellen-one-common:R0603","C23345"
"22","R912","hellen-one-common:R0603","C23345"
"22","R913","hellen-one-common:R0603","C23345"
"22","R914","hellen-one-common:R0603","C23345"
"22","R915","hellen-one-common:R0603","C23345"
"22","R916","hellen-one-common:R0603","C23345"
"molex_48pin_MRE","U1","conector-mre48:Molex_48_MRE",""
"MAX31855KASA","U2","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","C52028"
